post_id,city,price,beds,baths,sqft
5429831665,el cerrito,2400,3,2,1000
pre2013_32324,el cerrito,1545,2,2,1000
pre2013_51964,el cerrito,3200,5,3,3000
5520511212,el cerrito,3895,3,2,1500
6621262733,el cerrito,1700,1,1,518
pre2013_63395,el cerrito,1350,2,1.5,860
pre2013_56497,el cerrito,1150,1,1,450
pre2013_15984,el cerrito,2995,3,3,4000
pre2013_14287,el cerrito,1350,2,2,1000
4270035866,el cerrito,2200,3,2,1498
pre2013_42932,el cerrito,1800,2,2,1500
pre2013_55522,el cerrito,3000,5,3,2400
5536727800,el cerrito,1950,2,1,1075
4634318042,el cerrito,1375,1,1,650
pre2013_56496,el cerrito,1485,2,1,815
6573608863,el cerrito,2800,2,1,925
5982900492,el cerrito,2300,0,1,615
5827452074,el cerrito,2995,2,1,1458
pre2013_43334,el cerrito,2650,3,2,1986
4629451680,el cerrito,2800,3,2,1800
5386561769,el cerrito,2200,2,2,1000
5829401333,el cerrito,2600,4,2,1400
4630709902,el cerrito,2200,1,1,997
5660244666,el cerrito,2300,2,1,850
pre2013_14620,el cerrito,950,1,1,518
pre2013_39579,el cerrito,880,3,2,1394
5965658221,el cerrito,3150,3,3.5,1975
pre2013_39608,el cerrito,1650,2,2,1000
4612203917,el cerrito,8500,4,2,2014
6546040564,el cerrito,2195,1,1,751
5419619603,el cerrito,3000,2,2,1113
4835237101,el cerrito,2200,2,1,900
6539208095,el cerrito,2295,1,1,751
pre2013_44102,el cerrito,1700,2,2,1000
pre2013_144346,san jose,1800,3,2,1321
pre2013_35048,san jose,1800,2,2.5,1100
4834406734,atherton,12500,4,3.5,2760
4834759439,atherton,1375,2,1,1175
5037819290,atherton,12500,4,1,2710
4710732667,atherton,1275,2,1.5,1075
pre2013_159223,atherton,3000,2,2,1800
4656316294,atherton,1850,2,2.5,1025
4678173021,atherton,1350,2,2,1175
4924645324,atherton,8700,3,2,3200
4611922240,atherton,1250,1,1,1200
4678032299,atherton,2050,3,3.5,1200
4678098387,atherton,1750,3,1.5,1400
pre2013_71188,atherton,15500,5,5.5,4500
4689208516,atherton,1850,2,1.5,1150
4678234104,atherton,1750,3,3.5,1250
pre2013_62618,atherton,3495,2,1,1060
4678268824,atherton,1150,1,1,900
4645286727,atherton,5000,3,2.5,2300
pre2013_18998,atherton,11000,5,5.5,4500
4676924214,atherton,7900,3,3,3860
4600559181,atherton,2025,3,1,1200
4656301015,atherton,1525,3,2,1500
5975831773,atherton,14500,3,1,2342
3610343892,atherton,6000,3,1.5,2810
4645351679,atherton,1825,2,2.5,1025
5292684519,atherton,12280,5,3.5,4100
pre2013_64621,atherton,14000,6,5.5,6200
4572667845,atherton,13950,5,1,6500
4258419344,san francisco,2900,2,1,1000
pre2013_43151,san francisco,2450,3,1.5,1375
pre2013_95667,san francisco,3100,2,2,1600
pre2013_125365,san francisco,3100,2,2,1600
5409045047,san francisco,2600,1,1,800
4600345909,san francisco,1600,2,1,555
pre2013_21864,san francisco,2200,3,1,1200
5742774192,san francisco,2400,1,1,650
5749310097,san francisco,4400,4,3,1930
5818111682,san francisco,6000,4,2.5,3200
pre2013_52455,san francisco,3000,2,2,1700
pre2013_40692,san francisco,2300,2,2,1200
6424478747,san francisco,4350,3,2,1374
4262694586,san francisco,2400,3,1,1500
5303867251,san francisco,2990,2,2,875
pre2013_14230,san francisco,1500,3,2,1200
5066140051,san francisco,2695,3,2,1300
4248721179,san francisco,2200,2,2,1500
5639930854,san francisco,2400,1,1,650
pre2013_50836,san francisco,2695,3,2,1500
pre2013_45062,san francisco,2450,3,1.5,1375
5393047565,san francisco,2100,2,1,550
5749299180,san francisco,4400,4,3,1930
5941063774,san francisco,4350,3,3,1587
4325324147,san francisco,2500,2,1,1250
5060471572,san francisco,3695,4,3,1200
pre2013_155382,san francisco,2350,3,1.5,1375
6505643498,san francisco,4500,3,2.5,1300
4096963660,san francisco,3000,3,3,1476
pre2013_56105,san francisco,2695,4,3,1640
5730726600,san francisco,2400,1,1,650
pre2013_60007,san francisco,2450,3,2,1600
5369910932,san francisco,5995,2,1,1800
4844822374,san francisco,2100,1,1,650
pre2013_68913,san francisco,2795,3,2,1550
5581781645,san francisco,2400,1,1,650
5626649708,san francisco,1099,1,1,400
4062520729,san francisco,2900,2,2,1021
5802517777,san francisco,3600,3,2,1350
5785434109,san francisco,3090,2,2,984
6593820255,san francisco,2800,1,1,800
5439963435,san francisco,2800,2,2,1073
6243289270,san francisco,2795,2,1,700
3550149355,ben lomond,2000,2,2,1100
4647531932,ben lomond,2500,3,2,1300
5827488331,ben lomond,2650,3,2,1800
6503829908,ben lomond,2650,3,2,1850
5975833620,ben lomond,1200,0,1,235
pre2013_32618,san francisco,3990,3,2,1953
pre2013_71002,san francisco,1750,2,1,854
5656803128,san francisco,3675,4,2.5,1836
5066166625,san francisco,4250,2,1,975
pre2013_42781,san francisco,4200,3,2,1400
